iter	Passed	Remaining
0	152	151882
1	156	78133
2	160	53440
3	164	41039
4	169	33704
5	174	28827
6	178	25277
7	182	22633
8	186	20566
9	190	18906
10	195	17548
11	199	16404
12	203	15435
13	207	14618
14	211	13900
15	220	13539
16	224	13005
17	228	12492
18	233	12031
19	237	11621
20	241	11253
21	245	10912
22	250	10624
23	254	10348
24	257	10044
25	260	9743
26	262	9459
27	264	9180
28	266	8919
29	268	8675
30	270	8447
31	271	8227
32	273	8019
33	275	7822
34	276	7636
35	278	7460
36	280	7287
37	281	7125
38	282	6969
39	284	6821
40	285	6682
41	287	6549
42	288	6424
43	290	6305
44	291	6188
45	292	6076
46	294	5967
47	295	5863
48	296	5762
49	298	5667
50	299	5576
51	300	5486
52	302	5401
53	304	5327
54	305	5256
55	307	5182
56	308	5110
57	310	5040
58	311	4974
59	313	4910
60	314	4847
61	316	4787
62	317	4728
63	319	4669
64	320	4612
65	321	4556
66	323	4503
67	324	4443
68	325	4392
69	326	4343
70	328	4294
71	329	4247
72	331	4205
73	332	4164
74	334	4122
75	335	4081
76	337	4040
77	338	4000
78	339	3963
79	341	3925
80	342	3888
81	344	3852
82	345	3818
83	347	3784
84	348	3746
85	349	3713
86	350	3677
87	351	3646
88	353	3614
89	354	3585
90	355	3555
91	357	3526
92	358	3499
93	360	3473
94	361	3446
95	363	3420
96	364	3393
97	365	3367
98	367	3343
99	368	3318
100	370	3294
101	371	3268
102	372	3246
103	374	3223
104	375	3202
105	377	3180
106	378	3159
107	380	3139
108	381	3119
109	383	3100
110	384	3081
111	386	3060
112	387	3040
113	388	3022
114	390	3003
115	391	2984
116	393	2966
117	394	2948
118	395	2928
119	397	2911
120	398	2893
121	399	2876
122	400	2855
123	401	2839
124	403	2823
125	404	2809
126	406	2793
127	407	2775
128	408	2759
129	410	2744
130	411	2728
131	412	2714
132	414	2699
133	415	2685
134	417	2672
135	418	2658
136	419	2645
137	421	2631
138	422	2618
139	424	2605
140	425	2593
141	427	2580
142	428	2568
143	430	2556
144	431	2544
145	432	2532
146	434	2520
147	435	2508
148	437	2497
149	438	2485
150	440	2476
151	441	2465
152	443	2453
153	444	2442
154	446	2431
155	447	2422
156	449	2413
157	451	2404
158	452	2393
159	454	2383
160	455	2374
161	457	2364
162	458	2355
163	460	2344
164	461	2335
165	463	2326
166	464	2316
167	466	2307
168	467	2297
169	468	2288
170	470	2280
171	471	2271
172	473	2262
173	474	2253
174	476	2244
175	477	2236
176	478	2226
177	480	2217
178	481	2208
179	482	2199
180	484	2190
181	485	2183
182	487	2175
183	488	2166
184	489	2157
185	491	2149
186	492	2141
187	494	2133
188	495	2125
189	496	2118
190	498	2110
191	499	2101
192	500	2093
193	501	2085
194	503	2077
195	504	2070
196	506	2064
197	508	2057
198	509	2051
199	510	2043
200	512	2037
201	516	2038
202	517	2032
203	519	2028
204	521	2021
205	522	2014
206	524	2008
207	525	2001
208	527	1995
209	528	1989
210	530	1982
211	531	1976
212	533	1969
213	534	1963
214	536	1958
215	538	1954
216	540	1948
217	542	1944
218	543	1938
219	545	1932
220	546	1926
221	547	1920
222	549	1913
223	550	1908
224	552	1902
225	553	1896
226	555	1891
227	556	1885
228	558	1880
229	560	1876
230	562	1871
231	564	1868
232	565	1861
233	567	1856
234	568	1850
235	569	1845
236	571	1839
237	572	1833
238	574	1828
239	575	1822
240	576	1817
241	578	1811
242	580	1806
243	581	1803
244	583	1798
245	585	1795
246	587	1790
247	588	1785
248	590	1779
249	591	1774
250	592	1768
251	594	1763
252	595	1757
253	596	1752
254	598	1747
255	599	1741
256	600	1736
257	602	1731
258	604	1728
259	605	1723
260	607	1719
261	608	1713
262	610	1709
263	611	1704
264	612	1699
265	613	1694
266	615	1688
267	616	1683
268	617	1678
269	618	1672
270	619	1667
271	621	1662
272	622	1656
273	623	1652
274	625	1648
275	627	1645
276	628	1641
277	630	1637
278	631	1632
279	633	1628
280	634	1623
281	635	1619
282	637	1615
283	638	1610
284	640	1606
285	641	1601
286	643	1597
287	644	1593
288	646	1589
289	648	1586
290	649	1583
291	651	1580
292	653	1576
293	654	1572
294	656	1567
295	657	1564
296	659	1560
297	660	1556
298	662	1552
299	663	1548
300	664	1544
301	666	1540
302	667	1536
303	669	1532
304	671	1529
305	672	1525
306	674	1521
307	675	1517
308	676	1513
309	677	1508
310	679	1505
311	680	1501
312	682	1498
313	683	1494
314	685	1490
315	686	1486
316	688	1483
317	689	1479
318	691	1476
319	692	1472
320	694	1468
321	695	1464
322	697	1461
323	698	1457
324	700	1453
325	701	1450
326	702	1446
327	704	1442
328	705	1439
329	707	1436
330	708	1432
331	710	1429
332	711	1425
333	713	1422
334	714	1418
335	716	1415
336	717	1412
337	719	1408
338	720	1405
339	722	1401
340	723	1398
341	725	1395
342	726	1391
343	728	1388
344	729	1384
345	731	1381
346	732	1378
347	733	1375
348	735	1371
349	736	1368
350	738	1364
351	739	1361
352	741	1358
353	742	1355
354	744	1351
355	745	1348
356	746	1345
357	748	1341
358	749	1338
359	751	1335
360	752	1332
361	754	1329
362	755	1326
363	757	1323
364	758	1319
365	760	1316
366	761	1313
367	763	1310
368	764	1307
369	766	1304
370	767	1301
371	769	1298
372	770	1295
373	772	1292
374	773	1289
375	774	1286
376	776	1282
377	777	1279
378	779	1276
379	780	1273
380	782	1270
381	783	1267
382	785	1264
383	786	1261
384	788	1259
385	789	1256
386	791	1252
387	792	1249
388	793	1246
389	795	1244
390	796	1240
391	798	1238
392	799	1235
393	801	1232
394	802	1229
395	804	1226
396	805	1223
397	806	1220
398	808	1217
399	809	1214
400	810	1211
401	812	1208
402	813	1205
403	815	1202
404	816	1199
405	818	1196
406	819	1194
407	821	1191
408	822	1189
409	824	1186
410	825	1183
411	827	1180
412	828	1178
413	830	1175
414	831	1172
415	833	1169
416	834	1166
417	836	1164
418	837	1161
419	838	1158
420	840	1155
421	841	1153
422	843	1150
423	844	1147
424	846	1145
425	848	1143
426	849	1140
427	851	1137
428	852	1134
429	854	1132
430	855	1129
431	856	1126
432	858	1124
433	860	1121
434	861	1118
435	863	1116
436	864	1113
437	865	1111
438	867	1108
439	868	1105
440	870	1103
441	871	1100
442	873	1098
443	874	1095
444	876	1092
445	877	1090
446	879	1087
447	880	1085
448	882	1082
449	883	1080
450	885	1077
451	886	1075
452	888	1072
453	889	1070
454	891	1067
455	892	1065
456	894	1062
457	895	1059
458	897	1057
459	898	1054
460	900	1052
461	901	1050
462	903	1047
463	904	1045
464	906	1042
465	907	1040
466	909	1037
467	910	1035
468	912	1032
